objID,name,ra,dec,z,type
1.64152e+17,SDSS J101614.88+464750.3,154.062027,46.797321,0.8,Q
1.15462e+17,SDSS J151847.70+061259.0,229.698782,6.216396,0.49,QRX
1.61932e+17,SDSS J152738.91+445637.2,231.912148,44.943678,0.57,QX
1.75182e+17,SDSS J153739.63+555922.3,234.415129,55.989548,1.18,Q
1.75141e+17,SDSS J082820.91+555702.3,127.087103,55.950638,0.54,Q
1.63402e+17,SDSS J133409.50+461004.7,203.539587,46.167946,0.31,A
1.59502e+17,SDSS J144748.95+425506.0,221.953996,42.918353,0.85,Q
1.17932e+17,SDSS J133503.51+081640.5,203.764627,8.277949,0.32,A
1.1843e+17,SDSS J010206.13+084143.4,15.525563,8.695408,0.95,Q
9.71102e+16,SDSS J012602.95-090425.6,21.512304,-9.073808,0.51,Q
1.48512e+17,SDSS J133243.76+334553.7,203.18234,33.764923,0.59,Q
1.45971e+17,SDSS J082919.48+313834.3,127.331201,31.642875,0.9,Q
1.75042e+17,SDSS J154445.58+555213.8,236.189915,55.870532,3.15,Q
1.65753e+17,SDSS J165530.54+480729.2,253.877276,48.124778,0.52,Q
1.34992e+17,SDSS J103721.67+222941.8,159.340303,22.494944,0.63,Q
1.2025e+17,SDSS J000200.37+101244.4,0.50156,10.212378,0.85,Q
1.1006e+17,SDSS J002916.34+014306.1,7.318072,1.718359,0.68,Q
1.32011e+17,SDSS J073854.12+200041.4,114.725503,20.01156,2.42,Q
1.78151e+17,SDSS J093657.17+582752.8,144.238247,58.464681,0.38,A
1.451e+17,SDSS J002224.18+305511.8,5.600777,30.919978,0.83,Q
1.65342e+17,SDSS J151726.37+474720.7,229.359922,47.789093,0.77,Q
1.2962e+17,SDSS J005132.94+180120.5,12.887246,18.022396,0.96,Q
1.51641e+17,SDSS J093617.35+362223.1,144.072311,36.373098,1.36,Q
1.4986e+17,SDSS J005455.08+345311.3,13.729563,34.886507,0.45,Q
1.18692e+17,SDSS J145841.19+085450.2,224.671653,8.913958,0.14,QX
1.54021e+17,SDSS J094525.29+382127.1,146.355403,38.357553,0.8,Q
1.59762e+17,SDSS J102204.53+430809.5,155.518849,43.135992,0.31,A
1.69062e+17,SDSS J123821.96+505319.1,189.591514,50.888639,0.72,Q
1.61922e+17,SDSS J163141.85+445617.2,247.924394,44.938122,0.74,Q
1.47044e+17,SDSS J233038.98+323214.7,352.66242,32.537444,0.98,Q
1.86062e+17,SDSS J115849.15+650258.3,179.704853,65.04953,0.7,Q
1.39851e+17,SDSS J080257.07+263231.1,120.737799,26.541995,2.21,Q
1.80272e+17,SDSS J112842.98+601346.7,172.179127,60.229627,0.86,Q
1.52812e+17,SDSS J103316.59+372039.3,158.319136,37.34424,0.63,Q
1.28833e+17,SDSS J231651.69+172154.3,349.215418,17.365113,0.74,Q
1.48881e+17,SDSS J084534.64+340424.0,131.394331,34.073336,2.14,Q
1.78112e+17,SDSS J115544.71+582549.4,178.936257,58.430397,0.32,Q
1.76892e+17,SDSS J111305.27+572451.2,168.271959,57.414247,1.71,Q
1.36392e+17,SDSS J113900.36+233941.6,174.751521,23.66158,0.19,A
1.83752e+17,SDSS J132410.43+630745.1,201.043531,63.129209,1.18,Q
1.85362e+17,SDSS J103240.29+642816.3,158.167923,64.471205,1.24,Q
1.67011e+17,SDSS J094847.59+491038.7,147.19833,49.177411,0.4,Q
1.1499e+17,SDSS J020719.25+054938.0,31.830243,5.827248,1.0,Q
1.04103e+17,SDSS J215412.23-031501.0,328.550955,-3.250277,0.49,A
1.21431e+17,SDSS J095641.68+111130.4,149.17369,11.191788,0.7,Q
1.68832e+17,SDSS J120923.12+504150.1,182.346376,50.697276,0.52,Q
1.34432e+17,SDSS J123626.18+220147.5,189.109098,22.029899,0.18,AX
1.65482e+17,SDSS J134220.22+475412.5,205.584265,47.903486,1.03,Q
1.04004e+17,SDSS J234519.88-031931.5,356.33287,-3.325414,0.58,Q
1.12772e+17,SDSS J150203.38+035842.1,225.514093,3.978393,0.72,Q
1.36692e+17,SDSS J160150.56+235457.5,240.460712,23.915984,1.71,Q
1.76401e+17,SDSS J094209.00+570019.6,145.537554,57.005446,0.35,NR
1.61461e+17,SDSS J091829.50+443312.3,139.622937,44.553416,0.57,Q
1.70582e+17,SDSS J145949.13+520925.4,224.954756,52.157073,0.69,QX
1.3846e+17,SDSS J005759.30+252322.0,14.4971,25.389475,0.66,Q
1.71002e+17,SDSS J151936.95+523006.5,229.904033,52.501797,0.7,Q
1.093e+17,SDSS J000943.37+010459.8,2.430708,1.083261,0.45,Q
1.341e+17,SDSS J000749.53+214508.7,1.956394,21.752441,0.93,Q
1.4446e+17,SDSS J010000.58+302301.9,15.00242,30.383891,1.66,Q
1.59312e+17,SDSS J125820.11+424551.3,194.583795,42.764277,0.57,Q
1.73462e+17,SDSS J131216.05+543318.8,198.06686,54.555226,0.36,A
1.69501e+17,SDSS J093622.81+511522.1,144.095073,51.256146,0.79,Q
1.31203e+17,SDSS J165157.31+192005.5,252.988798,19.33486,0.71,Q
1.65743e+17,SDSS J164022.88+480722.3,250.095369,48.122888,0.98,Q
1.50852e+17,SDSS J113208.19+354233.2,173.034148,35.709224,0.11,N
1.20842e+17,SDSS J151702.31+104206.6,229.259645,10.701836,0.79,Q
1.10532e+17,SDSS J153828.50+020646.6,234.618805,2.112961,0.31,A
1.11362e+17,SDSS J153154.37+024805.4,232.976572,2.801527,0.66,Q
1.13652e+17,SDSS J133358.49+044243.1,203.493738,4.711983,0.43,Q
1.49012e+17,SDSS J133322.30+341048.0,203.342948,34.179966,0.53,QX
1.4203e+17,SDSS J020159.29+282135.1,30.497071,28.359747,0.26,A
1.74811e+17,SDSS J094002.75+554033.5,145.011486,55.675998,1.95,Q
1.19493e+17,SDSS J211816.14+093448.5,319.567252,9.580161,0.5,Q
1.48822e+17,SDSS J133536.08+340125.6,203.900327,34.023771,0.38,AX
1.70322e+17,SDSS J161713.50+515618.8,244.306316,51.938574,0.19,AX
1.38181e+17,SDSS J081018.67+250921.2,122.577809,25.155897,0.26,Q
1.52001e+17,SDSS J095411.44+364007.1,148.547671,36.668676,1.41,Q
1.14441e+17,SDSS J092421.72+052211.9,141.090511,5.369969,0.75,Q
1.3876e+17,SDSS J011118.86+253823.1,17.828597,25.639756,0.62,Q
1.66062e+17,SDSS J104921.97+482259.4,162.341546,48.383181,1.56,Q
1.61922e+17,SDSS J143540.87+445614.4,218.920335,44.937339,0.55,Q
1.05722e+17,SDSS J152924.64-015343.4,232.352692,-1.89542,0.42,QX
1.09754e+17,SDSS J233911.06+012757.5,354.796104,1.465991,0.5,A
1.31151e+17,SDSS J090012.32+191730.0,135.051361,19.291669,0.44,A
1.4499e+17,SDSS J010729.01+304934.5,16.870853,30.826303,2.47,Q
1.20582e+17,SDSS J114010.12+102928.1,175.042229,10.491133,0.15,QX
1.52922e+17,SDSS J163435.59+372621.6,248.648303,37.439343,0.65,Q
1.59591e+17,SDSS J082009.75+425940.1,125.04067,42.994469,1.77,Q
1.15002e+17,SDSS J121535.13+055000.6,183.896412,5.833499,0.38,Q
1.43504e+17,SDSS J232840.37+293516.2,352.168207,29.587857,0.69,Q
1.40434e+17,SDSS J234823.78+270141.4,357.099082,27.028193,0.29,AR
1.51841e+17,SDSS J080340.14+363217.7,120.917254,36.538273,0.53,Q
1.75611e+17,SDSS J095757.93+562034.4,149.491429,56.342905,0.74,Q
1.76882e+17,SDSS J155321.40+572420.5,238.339206,57.405706,0.53,A
