source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,pm,b,l,ecl_lat,ecl_lon,ruwe,v
588107986350670464,19.90857,0.153606,2.3857998428371836,4.065829,178.77754,39.114065854799875,224.69396925136735,-5.9524483286860885,142.28043785533052,1.084753,355.18719316112066
5117936218788726016,20.145277,0.319128,3.8261777966655712,7.161282,285.4158,-70.54225088321748,214.98391633656047,-37.38081265610343,21.619216843388937,1.010747,353.5828634697151
1255467628370145152,19.151857,-0.267767,1.2668786165334973,5.386292,94.30217,70.12368129654,28.41314429641085,35.3225784481872,202.74643054557473,1.042031,352.82960736535205
643480972473487488,19.768024,0.722967,5.818111130344054,12.810767,432.47714,50.952871893090254,205.7586355819723,11.815988962035405,142.63953492614706,1.08345,352.338002615956
4579128074676012800,19.907015,0.051933,2.109135734001951,6.353783,156.75996,20.75356781845499,50.034140611964254,47.409710136026156,271.16069345971357,1.018384,352.2970178401969
5022836266941858560,20.283464,0.735485,4.565459365991673,7.986818,337.85037,-79.04809356700528,230.7732899681006,-37.11420607123642,9.825641150798702,1.054705,350.766623113436
1343319088466367232,17.733923,-0.437609,0.3474362258787365,4.591666,25.68852,31.291100954739633,63.21819780712487,61.50718688277188,258.532708059418,0.990384,350.46312898844445
1499877243475417472,18.777649,-0.233141,2.698581012800118,15.834183,199.4722,72.87709617524975,85.20151044785032,46.52892019059869,184.7838928343626,0.993219,350.3686627677417
5726927573083821440,19.47039,1.275536,16.7473012286896,49.91288,1234.9127,13.53135477055937,235.2534164820146,-31.270220596085284,131.5874713593429,1.033194,349.5181827551038
6518883327301776256,20.4515,0.253187,3.4644619756546824,5.457967,253.50134,-55.89354259608047,350.4249339218956,-33.05252635558287,319.99155615953015,1.001967,346.83491208444485
6227901041052166016,19.978693,0.341011,5.344467054500477,8.964965,390.52182,29.826760024140462,338.4784421225889,-6.028208804521747,230.45978966835338,0.963444,346.3532300316584
2380152677943597184,19.74416,0.879097,8.018740179213898,18.449049,585.5803,-71.06534145031185,27.66414872462203,-21.59627981226951,341.0459444191657,0.944155,346.14548738392574
1610454651138769408,19.873003,-0.074606,1.6997451007772808,4.864364,123.513855,56.218486106686974,99.84028410998965,63.48013077487532,175.71773681820713,1.094604,344.43733495080966
4731177819694416000,19.99751,1.626732,14.853659908372798,37.673515,1078.1163,-46.73587771051401,268.2221323014249,-71.92776020341289,18.302891827828034,0.996007,344.04122956770027
6035937275903148672,19.963554,0.243811,3.24391889436363,5.533036,235.00186,14.176912877808435,345.32472942301536,-10.400402457944168,246.93490611949315,1.001725,343.38368501998514
3583659005987589760,20.179123,0.414682,4.612645717723668,6.612198,333.6259,55.941493623662815,292.9468789311424,-3.0894510616120843,189.22325147363762,0.985176,342.83723305910013
609528255272111360,18.370638,0.091471,5.019110092987992,27.392859,362.8879,30.85793120912495,211.12222004157272,-3.2506218190457905,128.67851175508034,1.05127,342.70790169706834
828120310859359104,12.581236,-0.505599,1.7042301360436631,36.750008,122.93939,49.00423989247484,164.06888540976155,36.252728220104494,131.21081608752465,0.61946,341.9331146547273
6527909110879568000,16.477493,-0.486195,0.3963669035409309,6.585676,28.572716,-63.14237176303087,342.45895348890673,-37.04836217791959,328.86471460144446,1.048163,341.6901650694681
5121541586135955456,19.382696,0.134369,1.2997752626218564,4.227417,93.661194,-73.16231207175103,207.60474002652882,-34.52779335782084,19.15572539556286,1.039042,341.56216971106505
6313793343222810112,18.909002,0.115295,3.486398285463854,10.690293,250.96162,41.17054905867889,345.79536415558755,5.6006051893569095,225.100085998942,0.988817,341.1997141604377
4857928695510590976,16.883503,-0.488245,0.3526741628394988,6.474752,25.358196,-48.80419642027171,237.17059023019968,-54.77186702548553,46.231856509783846,1.001003,340.8184180484032
1062666683892138496,18.907202,-0.364454,2.056297154588173,10.942476,147.2755,44.848802731148055,131.3059330234363,58.758465886882746,128.53036681142746,0.985942,339.48685689298196
4547094181359193600,17.464212,-0.289034,0.3647023451829927,4.509238,26.074116,26.70762867536389,38.653751708529974,39.588221088432775,258.5832739968988,0.9894,338.88268145912497
6462732501127422080,18.699127,-0.308517,1.3049410255864873,7.264844,93.26145,-42.30225053593793,339.87452913370515,-38.391686104768944,302.4133053798595,0.999227,338.7580530390406
3427482725113315200,18.077528,1.325705,19.29864737656854,137.53604,1377.8302,-2.048762271830861,185.12162603361668,0.0761976210888093,87.61813947471303,1.06267,338.4131033377653
1489569772937523840,16.25472,-0.490599,0.2926507625967372,6.53917,20.811224,63.36198682210178,70.18496949208995,52.507499665741754,199.00170287294523,1.046982,337.07481507223736
2505903071193331584,18.64955,0.268755,5.879101433249388,23.685162,417.43616,-60.23162869635229,155.72855887738677,-12.23337464218703,25.937975726766147,1.051236,336.5560890076879
2299361216370684928,20.292377,0.635979,2.0755807696282313,4.441715,147.27971,21.3701912389594,118.86069160026216,68.09234685294136,72.61511954800086,1.036311,336.3424012318084
5708515872919098240,19.64484,0.894054,2.0777176422791133,5.560464,147.2224,14.494558089049962,242.47510193840606,-34.942131461125754,138.8075059720111,1.039712,335.8657340495513
1294793345366747776,19.085957,1.113071,12.986050534490294,65.25212,919.2555,61.356952098515684,59.02993412596593,50.078191007689455,206.97278291107847,0.996956,335.5347359865084
1424458549766226688,18.807432,0.861414,4.12513947929112,16.245232,291.56726,44.19026985952123,79.21307188649811,70.21088808006299,218.72364546428796,1.049437,335.02596042048555
1588060412484726656,19.565367,0.79631,7.343976256768412,29.244965,516.6087,55.5819672261272,79.24141037873622,61.49253542689862,200.45355731806245,1.02415,333.4331661094547
1770019931796721152,19.800573,0.989435,6.40573422908057,14.763082,449.92053,-27.27163394814792,66.03504123596774,25.959625316352344,330.05630957476785,0.989824,332.92410307506725
935258884237774080,17.861073,-0.409761,1.0636917216134198,9.848194,74.59438,33.69559282283386,167.60343926924736,30.545182940660638,113.8708911658924,1.008609,332.40587415692795
4725878654683515136,19.357405,0.334263,4.122155809875473,21.370632,289.03244,-52.905717685788616,281.60466601901317,-66.59064981914558,352.08341606941036,0.970766,332.3537075423841
1161215296909017728,15.510047,-0.140361,13.257103592829978,310.1955,928.58606,55.61252293820873,3.7905743662360574,22.835746420765247,217.77133081243997,1.068998,332.01052488899643
1444243093276400000,15.869535,-0.416805,0.4514547039718786,9.908742,31.580557,76.75940208451576,27.558590425393955,33.76000195508768,194.90923007422145,1.056982,331.5766526397448
