oid,mjd,mag,magerr,catflags,filtercode,ra,dec
722314100005916,59057.2854167,19.5762196,0.0987911969,0,zi,245.5281554,43.7768659
722314100005916,59057.2959144,19.6394653,0.103549317,0,zi,245.5281527,43.7768961
722314100005916,59059.204919,19.5001907,0.0933236554,0,zi,245.5281833,43.7768889
722314100005916,59059.2427546,19.4601784,0.0905558541,0,zi,245.5281097,43.7768994
722314100005916,59060.2364468,19.624424,0.102400385,0,zi,245.5281236,43.7768698
722314100005916,59060.256956,19.536993,0.0959360227,0,zi,245.5281869,43.7768765
722314100005916,59061.2034491,19.5058708,0.0937226862,0,zi,245.528173,43.7768471
722314100005916,59061.2122222,19.5477085,0.0967087373,0,zi,245.528123,43.7768745
722314100005916,59062.2537731,19.508812,0.0939298719,0,zi,245.528179,43.7768577
722314100005916,59062.2830787,19.72855,0.110575065,0,zi,245.528153,43.7768775
722314100005916,59063.2072917,19.6732025,0.106165573,0,zi,245.5281635,43.7768392
722314100005916,59063.2130324,19.5417995,0.0962819606,0,zi,245.5280853,43.7768411
722314100005916,59064.2363194,19.6342373,0.103148714,0,zi,245.5280464,43.7768884
722314100005916,59064.2521528,19.5731659,0.0985663608,0,zi,245.5281407,43.7768735
722314100005916,59065.2829514,19.5336533,0.0956962705,0,zi,245.5281501,43.7769501
722314100005916,59065.3016319,19.4317131,0.0886324793,0,zi,245.5280295,43.7767774
722314100005916,59066.2644213,19.5864487,0.0995478332,0,zi,245.5281562,43.7768946
722314100005916,59066.2878472,19.586338,0.0995396003,0,zi,245.5281738,43.7768296
722314100005916,59067.2330671,19.5528889,0.0970842019,0,zi,245.5281602,43.7768547
722314100005916,59067.2590856,19.6315651,0.102944545,0,zi,245.5281652,43.7768441
722314100005916,59068.2892245,19.4980164,0.093171306,0,zi,245.5281664,43.7768668
722314100005916,59069.2559144,19.7052803,0.108703405,0,zi,245.5281461,43.7768764
722314100005916,59069.2831019,19.5532131,0.0971077457,0,zi,245.528163,43.7768673
722314100005916,59070.2682407,19.6179066,0.101905935,0,zi,245.5281524,43.7768638
722314100005916,59070.2830556,19.5210876,0.0947990865,0,zi,245.5282099,43.7768441
722314100005916,59071.2753819,19.4833527,0.0921497196,0,zi,245.528164,43.7768553
722314100005916,59071.295625,19.7496166,0.112291649,0,zi,245.5281066,43.7768444
722314100005916,59072.2612384,19.7575951,0.11294727,0,zi,245.5281123,43.776898
722314100005916,59072.294294,19.6234322,0.102325,0,zi,245.5281469,43.7768972
722314100005916,59073.2586111,19.647625,0.10417711,0,zi,245.5281075,43.7768807
722314100005916,59073.2791898,19.5684681,0.0982212126,0,zi,245.5281536,43.776895
722314100005916,59074.2431481,19.5860271,0.0995166004,32768,zi,245.5281484,43.7768962
722314100005916,59075.1598611,19.646244,0.104070589,32768,zi,245.5280762,43.7768602
722314100005916,59075.2617824,19.5347538,0.0957752019,0,zi,245.5281526,43.776876
722314100005916,59076.2234259,19.6305408,0.102866277,0,zi,245.5281145,43.7768705
722314100005916,59076.2331134,19.5645409,0.0979335532,32768,zi,245.5281254,43.7768875
722314100005916,59077.1828472,19.5635414,0.0978603885,0,zi,245.5281504,43.7768365
722314100005916,59078.2384259,19.6434746,0.103857353,0,zi,245.5281602,43.7768462
722314100005916,59078.2600579,19.5556145,0.0972823426,0,zi,245.5281564,43.7768875
722314100005916,59079.2487847,19.5109787,0.0940827355,0,zi,245.5282306,43.7768614
722314100005916,59079.2570023,19.5488529,0.0967915952,0,zi,245.528119,43.7768855
722314100005916,59080.2353819,19.8148842,0.117742226,0,zi,245.528157,43.7769069
722314100005916,59080.2596065,19.5246582,0.0950533301,0,zi,245.5281037,43.7768811
722314100005916,59081.2679861,19.6022701,0.100727908,0,zi,245.5281113,43.7769013
722314100005916,59081.2865625,19.7703495,0.114001483,0,zi,245.5281326,43.7768856
722314100005916,59082.2404167,19.7080612,0.108925767,0,zi,245.5281367,43.7768301
722314100005916,59084.2183912,19.4165611,0.0876239762,0,zi,245.5281319,43.7768691
722314100005916,59085.2828935,19.6354561,0.103242032,0,zi,245.5281429,43.7768716
722314100005916,59085.2939468,19.6336002,0.103100032,0,zi,245.5281842,43.7768933
722314100005916,59086.2202315,19.5662327,0.0980573818,0,zi,245.5281715,43.7768887
722314100005916,59086.2360995,19.7561836,0.112831071,0,zi,245.5281277,43.7768381
722314100005916,59087.2019676,19.5786362,0.0989695713,0,zi,245.5281617,43.7768695
722314100005916,59087.2122454,19.7048683,0.108670563,0,zi,245.5281845,43.7768824
722314100005916,59088.1931019,19.5229855,0.0949341059,0,zi,245.528149,43.7768587
722314100005916,59088.2122569,19.532402,0.0956066623,0,zi,245.528211,43.7768943
722314100005916,59089.155625,19.6329117,0.103047356,0,zi,245.5280613,43.7768313
722314100005916,59089.1926157,19.7691231,0.113899849,0,zi,245.5282071,43.7768766
722314100005916,59090.1927778,19.6102524,0.101327814,0,zi,245.5282118,43.7768385
722314100005916,59090.2204745,19.6438637,0.103887267,0,zi,245.5281099,43.7768651
722314100005916,59091.1391551,19.4544506,0.090165779,0,zi,245.5281278,43.7768899
722314100005916,59091.1698264,19.6095695,0.10127636,0,zi,245.5281578,43.776859
722314100005916,59092.1670718,19.8225327,0.118393913,0,zi,245.5281607,43.7768782
722314100005916,59092.1713426,19.5639668,0.097891517,0,zi,245.5281121,43.7768233
722314100005916,59093.2500694,19.8129578,0.117578506,0,zi,245.5280514,43.776957
