oid,mjd,mag,magerr,catflags,filtercode,ra,dec
567207300005704,58217.1583449,18.8527813,0.0475158021,0,zr,122.7891255,17.4914356
567207300005704,58217.1815972,19.04175,0.0547681786,32768,zr,122.7891225,17.4913974
567207300005704,58223.1635764,18.9560547,0.0513402931,0,zr,122.7891308,17.4913843
567207300005704,58223.1822222,18.9712505,0.0519309118,0,zr,122.7891115,17.4913945
567207300005704,58227.1601042,18.9322128,0.0504283272,0,zr,122.7891216,17.4914187
567207300005704,58244.1587037,18.9336395,0.0504824109,0,zr,122.7891135,17.4913514
567207300005704,58247.2198032,18.9736671,0.0520255007,0,zr,122.7890959,17.4913545
567207300005704,58263.1762384,18.8575172,0.0476841591,0,zr,122.7890195,17.4914074
567207300005704,58369.5216088,18.9678211,0.0517969802,0,zr,122.7891235,17.4913917
567207300005704,58372.5165162,19.0283718,0.054217238,0,zr,122.7891039,17.4913737
567207300005704,58375.5156481,19.0785141,0.0563129522,0,zr,122.7891192,17.4914029
567207300005704,58378.5084259,19.0142212,0.0536409728,0,zr,122.7890449,17.4913935
567207300005704,58382.522963,19.0207825,0.0539073609,0,zr,122.7891152,17.4913792
567207300005704,58385.5253125,18.9197903,0.0499602035,0,zr,122.7891247,17.4913743
567207300005704,58425.4990741,19.0630436,0.0556573309,0,zr,122.7891156,17.4913684
567207300005704,58428.4955093,19.0244617,0.0540573448,0,zr,122.7891143,17.4913893
567207300005704,58432.3921528,18.9945145,0.0528493226,0,zr,122.789132,17.4913963
567207300005704,58434.4604167,19.0500183,0.0551116429,0,zr,122.789135,17.4913423
567207300005704,58439.3525694,18.9865246,0.0525319092,0,zr,122.7891488,17.4913711
567207300005704,58440.5027199,19.0744247,0.0561388358,0,zr,122.7891107,17.491391
567207300005704,58441.3834259,19.118042,0.0580252036,0,zr,122.7891347,17.4913533
567207300005704,58442.3491551,18.85746,0.0476821177,32768,zr,122.7890369,17.4914105
567207300005704,58443.39625,19.0670776,0.0558275059,0,zr,122.789127,17.4913593
567207300005704,58443.4399884,19.1288242,0.0585016795,0,zr,122.7891464,17.4914068
567207300005704,58447.4193403,19.1336308,0.0587153919,0,zr,122.7892906,17.4914291
567207300005704,58447.5026042,18.9705849,0.0519048646,0,zr,122.7890946,17.491374
567207300005704,58455.4553588,19.0818233,0.0564542376,0,zr,122.789141,17.4913958
567207300005704,58455.4987153,19.0925751,0.0569158681,0,zr,122.7891309,17.4914257
567207300005704,58461.5066319,19.1205444,0.0581354052,0,zr,122.7891104,17.4914042
567207300005704,58464.2966088,19.0883942,0.0567358993,0,zr,122.7891237,17.4913633
567207300005704,58472.4277199,19.1227493,0.0582327321,0,zr,122.7891343,17.4914043
567207300005704,58480.4230093,19.158802,0.05984791,0,zr,122.7890952,17.491361
567207300005704,58481.4247106,19.1896591,0.0612671636,0,zr,122.7891113,17.4914196
567207300005704,58486.4534722,19.0090065,0.0534302779,0,zr,122.7892019,17.4913689
567207300005704,58490.2152662,19.2030563,0.0618940666,0,zr,122.7891909,17.4913717
567207300005704,58502.4201736,18.8765717,0.0483681932,0,zr,122.7891007,17.4915549
567207300005704,58505.2748148,18.6277122,0.0402391516,0,zr,122.7891047,17.4913459
567207300005704,58505.3128472,18.7416019,0.043748863,0,zr,122.7891322,17.4913708
567207300005704,58505.3264352,18.8413105,0.0471107997,0,zr,122.7890679,17.4914748
567207300005704,58506.2791782,18.9997673,0.0530590825,0,zr,122.7891274,17.4913909
567207300005704,58506.2951389,18.906517,0.049465213,0,zr,122.7891036,17.4914333
567207300005704,58506.3113079,19.0093994,0.053446088,0,zr,122.7891285,17.4914516
567207300005704,58506.3460301,18.9811745,0.05232054,0,zr,122.7890596,17.4913248
567207300005704,58506.3636921,19.0407734,0.0547277704,0,zr,122.7891462,17.4912671
567207300005704,58506.3802083,18.9575653,0.0513987169,0,zr,122.7890335,17.4914008
567207300005704,58506.3964236,19.00457,0.0532516874,0,zr,122.789121,17.4913557
567207300005704,58506.4125694,19.111805,0.0577514395,0,zr,122.7892243,17.4915073
567207300005704,58506.4237963,19.0423374,0.0547925197,0,zr,122.7892088,17.4913363
567207300005704,58508.2867477,19.1636887,0.0600703694,0,zr,122.789163,17.4913504
567207300005704,58509.2865509,19.0240917,0.0540422574,0,zr,122.7891171,17.4913721
567207300005704,58511.2108796,19.0937996,0.056968689,0,zr,122.7891196,17.4913579
567207300005704,58511.213287,19.1197662,0.0581011511,0,zr,122.7891552,17.4914019
567207300005704,58511.215706,19.1422234,0.0590994805,0,zr,122.7890883,17.4913351
567207300005704,58511.218125,19.2753258,0.0653904825,0,zr,122.789097,17.4914057
567207300005704,58511.2205556,19.1314907,0.0586201474,0,zr,122.7891029,17.4913473
567207300005704,58511.2229745,19.2191124,0.0626540929,0,zr,122.7891494,17.4913746
567207300005704,58511.2278472,19.2203197,0.0627116337,0,zr,122.7891247,17.4913984
567207300005704,58511.2302894,19.1791878,0.0607816949,0,zr,122.7891392,17.491382
567207300005704,58511.237662,19.1037178,0.0573984794,0,zr,122.7891568,17.4913438
567207300005704,58511.2526505,19.163784,0.0600747243,0,zr,122.7891434,17.4913513
567207300005704,58511.2637269,19.1899261,0.0612795986,0,zr,122.7891481,17.4913846
567207300005704,58511.266875,19.1074638,0.0575617254,0,zr,122.7891279,17.4913629
567207300005704,58511.2700463,19.1162148,0.0579448491,0,zr,122.7891448,17.4913608
567207300005704,58511.2732407,19.1949768,0.0615152344,0,zr,122.789112,17.4913505
567207300005704,58511.2764583,19.1482544,0.0593706071,0,zr,122.789137,17.4913779
567207300005704,58511.2797222,19.1966267,0.0615924038,0,zr,122.7891506,17.4913843
567207300005704,58511.2829977,19.1622658,0.0600055344,0,zr,122.7891485,17.4913598
567207300005704,58511.2863079,19.179903,0.0608147308,0,zr,122.7891193,17.4913792
567207300005704,58511.2896181,19.1941643,0.0614772402,0,zr,122.7891367,17.4913748
567207300005704,58511.2929398,19.0922699,0.0569027141,0,zr,122.7891452,17.4913759
567207300005704,58511.2962963,19.1717987,0.0604415312,0,zr,122.7891523,17.4913661
567207300005704,58511.2999769,19.0580215,0.0554462411,0,zr,122.789139,17.4913627
567207300005704,58511.3035648,19.2126522,0.06234717,0,zr,122.7891186,17.4913762
567207300005704,58511.3071644,19.1924477,0.0613971055,0,zr,122.7891271,17.4913613
567207300005704,58511.3107639,19.1458988,0.0592645518,0,zr,122.7891293,17.4913505
567207300005704,58511.3143634,19.1405029,0.0590223745,0,zr,122.7891493,17.4913784
567207300005704,58511.3179514,19.1100292,0.0576737672,0,zr,122.7891452,17.4913719
567207300005704,58511.3215394,19.1924381,0.0613966584,0,zr,122.7891342,17.4913885
567207300005704,58511.3251042,19.2066727,0.0620644391,0,zr,122.7891185,17.4913812
567207300005704,58511.3286574,19.10746,0.057561513,0,zr,122.7891754,17.4913623
567207300005704,58511.3321991,19.1332455,0.0586982369,0,zr,122.7891364,17.4914049
567207300005704,58511.3357292,19.1067047,0.0575285926,0,zr,122.7891511,17.4913933
567207300005704,58511.3392593,19.1124439,0.0577794202,0,zr,122.7891396,17.4913547
567207300005704,58511.3427662,19.1436081,0.059161637,0,zr,122.7891542,17.4913619
567207300005704,58511.3462616,19.2032433,0.0619028695,0,zr,122.7891416,17.4914028
567207300005704,58511.3497569,19.1953735,0.0615337901,0,zr,122.7891424,17.4913889
567207300005704,58511.3532292,19.1244717,0.0583088584,0,zr,122.7891276,17.4913695
567207300005704,58511.356713,19.1874657,0.0611651428,0,zr,122.789129,17.4913715
567207300005704,58511.3601736,19.1906128,0.0613115728,0,zr,122.7891255,17.4913616
567207300005704,58511.3636227,19.0682373,0.0558765344,0,zr,122.7891378,17.4913553
567207300005704,58511.3705093,19.1359673,0.0588195771,0,zr,122.7890952,17.4913836
567207300005704,58511.3739468,19.1515465,0.0595191792,0,zr,122.7891365,17.4913673
567207300005704,58512.2608681,19.2590771,0.0645873249,32768,zr,122.789169,17.4913945
567207300005704,58512.2640162,19.0319901,0.0543656945,32768,zr,122.7891042,17.4913975
567207300005704,58512.296794,18.9614182,0.0515479408,32768,zr,122.789179,17.4914099
567207300005704,58512.3147917,19.2709084,0.0651711673,32768,zr,122.7892437,17.4913456
567207300005704,58512.3183681,19.2050343,0.0619872287,32768,zr,122.7891345,17.4913649
567207300005704,58512.3219329,18.9201565,0.0499739274,32768,zr,122.7891684,17.4913355
567207300005704,58512.3290394,19.0957623,0.0570534989,32768,zr,122.7891849,17.491326
567207300005704,58512.3325694,19.0239773,0.0540375859,32768,zr,122.7891485,17.4912585
567207300005704,58513.3646759,19.1426926,0.0591205433,32768,zr,122.7891426,17.4913539
567207300005704,58513.3681134,19.183115,0.0609632768,32768,zr,122.7891238,17.4913731
567207300005704,58513.3715278,19.2102699,0.0622343943,32768,zr,122.789136,17.4913713
567207300005704,58514.2116319,19.2402821,0.063670747,0,zr,122.789108,17.4913604
567207300005704,58514.2140509,19.1763992,0.0606530979,0,zr,122.7891239,17.4913691
567207300005704,58514.2164815,19.1333561,0.0587031804,0,zr,122.7891662,17.4914034
567207300005704,58514.2189236,19.1584034,0.0598298125,0,zr,122.7891283,17.4913765
567207300005704,58514.2213542,19.1141644,0.0578548275,0,zr,122.7891361,17.4913824
567207300005704,58514.2238079,19.208622,0.0621564537,0,zr,122.7891254,17.4913881
567207300005704,58514.22625,19.1573772,0.0597832128,0,zr,122.7891436,17.4913795
567207300005704,58514.2287153,19.1608028,0.05993893,0,zr,122.7891273,17.4913839
567207300005704,58514.2311806,19.1988392,0.0616960563,0,zr,122.7891074,17.4913794
567207300005704,58514.233669,19.18783,0.0611821003,0,zr,122.7891431,17.4913633
567207300005704,58514.2361574,19.1694279,0.0603327937,0,zr,122.7891451,17.4913634
567207300005704,58514.2386458,19.188694,0.0612222292,0,zr,122.7891307,17.4913714
567207300005704,58514.2411574,19.2470551,0.0639994964,0,zr,122.7891487,17.4913507
567207300005704,58514.2436806,19.1366272,0.058849059,0,zr,122.7891323,17.4913722
567207300005704,58514.2462037,19.2399292,0.0636536628,0,zr,122.7891066,17.4913751
567207300005704,58514.2557292,19.1004505,0.0572565049,0,zr,122.7891304,17.4913843
567207300005704,58514.2588773,19.159729,0.0598900691,0,zr,122.7890996,17.4913833
567207300005704,58514.2652431,19.0952034,0.0570293367,0,zr,122.7891197,17.4913686
567207300005704,58514.2684722,19.1595039,0.0598798208,0,zr,122.7891349,17.491372
567207300005704,58514.2717245,19.1426048,0.059116587,32768,zr,122.7891136,17.491397
567207300005704,58514.275,18.8874893,0.0487650372,32768,zr,122.7892052,17.4913064
567207300005704,58514.2783102,19.4082394,0.0723448768,32768,zr,122.7891995,17.4913964
567207300005704,58514.2816319,19.1907063,0.061315909,32768,zr,122.7890952,17.4913725
567207300005704,58514.2918403,19.1373138,0.0588797294,32768,zr,122.7891815,17.4915126
567207300005704,58514.3026389,18.9610825,0.0515349098,32768,zr,122.7890822,17.491373
567207300005704,58514.3134028,19.3233376,0.0678227246,32768,zr,122.7892291,17.4913668
567207300005704,58514.3240625,19.1194954,0.0580891743,32768,zr,122.7891157,17.4913944
567207300005704,58514.3311227,19.3185749,0.0675774291,32768,zr,122.789127,17.4912374
567207300005704,58514.3346296,18.9902802,0.0526808649,32768,zr,122.7891558,17.4913914
567207300005704,58514.3381366,19.0390759,0.0546575934,32768,zr,122.7891453,17.4912563
567207300005704,58514.3416204,18.7892227,0.0453195646,32768,zr,122.7891189,17.4913833
567207300005704,58514.3485648,19.1418571,0.0590830669,32768,zr,122.7891099,17.4914297
567207300005704,58514.3692245,19.1517296,0.0595274121,0,zr,122.7891195,17.4913806
567207300005704,58522.2091898,19.2372303,0.0635231584,0,zr,122.7891007,17.4913895
567207300005704,58526.2246296,19.085928,0.0566300005,0,zr,122.7891507,17.4914104
567207300005704,58534.3156944,19.0108624,0.0535051227,0,zr,122.7890062,17.4913133
567207300005704,58541.287581,19.0883179,0.0567326173,32768,zr,122.7891561,17.4913263
567207300005704,58547.1725347,19.15905,0.0598591752,0,zr,122.7891378,17.4913671
567207300005704,58556.1898495,19.1003399,0.0572517514,0,zr,122.7890475,17.4913964
567207300005704,58567.1460764,19.2600937,0.0646373034,0,zr,122.7891224,17.491376
567207300005704,58569.2173727,19.1538582,0.0596237034,32768,zr,122.7891137,17.4914045
567207300005704,58572.1460417,19.2766399,0.0654558986,32768,zr,122.7891491,17.4913465
567207300005704,58575.1502778,19.1511192,0.0594998375,32768,zr,122.7891014,17.4913633
567207300005704,58584.1573727,19.2194061,0.0626681149,0,zr,122.7891525,17.4913665
567207300005704,58591.1378356,19.2285366,0.063104637,0,zr,122.7891391,17.49136
567207300005704,58598.1514236,19.1777439,0.0607150756,0,zr,122.7891248,17.4913736
567207300005704,58606.1729861,19.1925545,0.0614021048,0,zr,122.7891031,17.4913913
567207300005704,58609.154838,19.059845,0.0555228032,0,zr,122.7891487,17.4914227
567207300005704,58617.2132755,19.3192253,0.0676108897,0,zr,122.7890888,17.4913954
