oid,mjd,mag,magerr,catflags,filtercode,ra,dec
416212100015529,58218.1924537,20.2419949,0.14518255,0,zr,140.1290768,-1.5480466
416212100015529,58218.2231829,20.6572857,0.180305719,0,zr,140.1291644,-1.5480762
416212100015529,58227.1660995,20.5394859,0.170834422,0,zr,140.1290597,-1.5481141
416212100015529,58244.1545255,20.2611084,0.146871701,0,zr,140.1291412,-1.5480896
416212100015529,58247.2156597,20.6371155,0.178683996,0,zr,140.1289813,-1.5482686
416212100015529,58426.540162,20.5917721,0.175038338,0,zr,140.1289204,-1.5480792
416212100015529,58427.4807986,20.1741066,0.139206961,0,zr,140.1290169,-1.5480852
416212100015529,58427.481713,20.2594299,0.1467233,0,zr,140.1289702,-1.5481162
416212100015529,58429.5394907,20.4392452,0.162521213,0,zr,140.1291346,-1.5480798
416212100015529,58430.4989236,20.3067722,0.15091005,0,zr,140.1290789,-1.548136
416212100015529,58430.4998264,20.3634739,0.155911833,0,zr,140.1290821,-1.5480836
416212100015529,58431.5241319,20.0089703,0.125004202,0,zr,140.1291395,-1.547926
416212100015529,58440.5219097,20.6163292,0.177012682,0,zr,140.1291155,-1.5481244
416212100015529,58440.5413773,20.300581,0.150362596,0,zr,140.1291181,-1.5480591
416212100015529,58441.5392593,20.4749622,0.165584177,0,zr,140.1291256,-1.5481069
416212100015529,58442.5253819,20.2493687,0.145834044,0,zr,140.1291413,-1.5480737
416212100015529,58447.477963,20.5877743,0.17471683,0,zr,140.1290447,-1.5480388
416212100015529,58447.5191319,20.0066338,0.124808028,0,zr,140.1292596,-1.5481467
416212100015529,58448.5402315,20.1907177,0.140664399,0,zr,140.129141,-1.5481933
416212100015529,58468.5010995,20.3927155,0.158476472,0,zr,140.1290914,-1.5480973
416212100015529,58472.44125,20.1525307,0.137319714,0,zr,140.1291506,-1.5481425
416212100015529,58480.4206713,20.2432976,0.145297751,0,zr,140.1291318,-1.54808
416212100015529,58481.4834028,20.4242325,0.161221981,0,zr,140.1290379,-1.548133
416212100015529,58487.4212616,20.2428207,0.14525564,0,zr,140.1290627,-1.5480497
416212100015529,58503.4268634,19.8372326,0.111047111,0,zr,140.1291405,-1.5480491
416212100015529,58503.4432986,19.8436565,0.11155095,0,zr,140.1290988,-1.5481523
416212100015529,58513.4121412,20.3196545,0.152048513,0,zr,140.129066,-1.5481131
416212100015529,58523.2113889,20.3456135,0.154339477,0,zr,140.1290878,-1.5481149
416212100015529,58523.2543519,20.4408531,0.162659883,0,zr,140.1291069,-1.5480789
416212100015529,58523.2572222,20.487318,0.16663301,0,zr,140.1290775,-1.5481062
416212100015529,58523.2601042,20.3468666,0.154450029,0,zr,140.1290984,-1.5480683
416212100015529,58523.2658681,20.6037121,0.17599833,0,zr,140.1290769,-1.5480796
416212100015529,58523.26875,20.5704765,0.173326135,0,zr,140.1290932,-1.5480722
416212100015529,58523.2716319,20.2752686,0.148123831,0,zr,140.129119,-1.5480829
416212100015529,58523.2745255,20.4221363,0.161040142,0,zr,140.129088,-1.5480631
416212100015529,58523.277419,20.4080582,0.159815788,0,zr,140.1290549,-1.5481101
416212100015529,58523.2803125,20.341053,0.15393737,0,zr,140.1291383,-1.548101
416212100015529,58523.283206,20.2935658,0.149742275,0,zr,140.1291216,-1.5481415
416212100015529,58523.2861111,20.3262596,0.152631849,0,zr,140.1290673,-1.548134
416212100015529,58523.2890162,20.4617462,0.164455891,0,zr,140.1291102,-1.548081
416212100015529,58523.2919213,20.4647274,0.164710879,0,zr,140.1290799,-1.5480726
