oid,mjd,mag,magerr,catflags,filtercode,ra,dec
567307300020081,58936.2489699,19.1896191,0.0741006806,0,zi,122.7891576,17.4913772
567307300020081,59181.4408102,18.9832401,0.0636634156,0,zi,122.7891291,17.4914029
567307300020081,59184.4033218,19.0064621,0.0647635013,0,zi,122.7891505,17.4914001
567307300020081,59190.390625,19.0288048,0.065839462,0,zi,122.7891511,17.4914455
567307300020081,59199.4668056,18.8571243,0.058005169,0,zi,122.7891191,17.4913932
567307300020081,59205.3542014,19.0082912,0.0648509786,32768,zi,122.7890923,17.4913899
567307300020081,59210.4452083,19.2447586,0.0771467835,0,zi,122.7890973,17.4914092
567307300020081,59216.464838,18.9885159,0.0639117509,0,zi,122.7891639,17.4912553
567307300020081,59219.3802199,19.0976315,0.0692630112,0,zi,122.7891246,17.4914321
567307300020081,59222.4234491,18.9482422,0.0620401129,0,zi,122.7891408,17.4913813
567307300020081,59225.3200926,19.0219631,0.0655081272,0,zi,122.7891593,17.4913972
567307300020081,59225.3313426,19.0499744,0.0668748245,0,zi,122.7891568,17.4913963
567307300020081,59228.3034491,18.995945,0.064263016,0,zi,122.7891119,17.4913804
567307300020081,59231.3394213,19.0199242,0.0654097274,0,zi,122.7891436,17.4913806
567307300020081,59248.3478356,18.9973545,0.0643298551,0,zi,122.7891413,17.4913607
567307300020081,59251.2366088,18.9677086,0.0629378855,0,zi,122.7891527,17.4913923
567307300020081,59254.3203819,19.0558491,0.0671648979,0,zi,122.7891389,17.4913704
567307300020081,59257.2756713,18.9569683,0.0624409877,0,zi,122.7891565,17.4913618
567307300020081,59260.321956,18.9747391,0.0632653087,0,zi,122.789189,17.4913956
567307300020081,59263.2987037,18.7280846,0.0527461208,0,zi,122.7890419,17.4914795
567307300020081,59266.2018866,18.9341831,0.0613996051,0,zi,122.7890928,17.4914003
567307300020081,59271.3196181,18.8833809,0.0591398999,0,zi,122.7890108,17.4914677
567307300020081,59274.2756829,18.5943699,0.0478266031,0,zi,122.7891161,17.4913576
567307300020081,59280.3178588,18.8889809,0.0593848377,0,zi,122.7891839,17.4913568
567307300020081,59291.1810532,19.0325527,0.0660216361,0,zi,122.7891568,17.4913534
567307300020081,59303.175544,18.8614998,0.0581926964,516,zi,122.7891232,17.4913747
567307300020081,59307.1747106,18.9295425,0.0611896291,0,zi,122.7891368,17.4913777
567307300020081,59312.1622801,18.8722687,0.0586569458,524,zi,122.7891542,17.4913609
567307300020081,59315.1770255,18.9120903,0.0604064167,0,zi,122.7891252,17.4913572
567307300020081,59343.175625,18.9906998,0.0640148148,0,zi,122.7891423,17.4914097
567307300020081,59355.1817593,18.6903057,0.0513031855,0,zi,122.7891944,17.4912778
