ID1	ID2	NGC	  RA1	      Dec1	  RA2	      Dec2	       cz    
0090    -999    -999    180.9604     16.5546    180.9607     16.5545          2091.5 
0091    -999    -999    180.9605     14.5504    180.9606     14.5501           915.8 
0092    -999    -999    181.0191      4.8124    181.0181      4.8131          2235.7 
0093    -999    4064    181.0469     18.4442    181.0462     18.4446           933.2 
0094    -999    -999    181.0523      0.8025    181.0522      0.8026          2946.8 
0095    -999    -999    181.0863     -1.5308    181.0845     -1.5302          1462.9 
0096    -999    -999    181.1965     10.6269    181.1962     10.6266          2574.6 
0097    -999    -999    181.2484     14.4059    181.2482     14.4057          1237.9 
0098    -999    -999    181.3330     -0.4800    181.3329     -0.4802          1388.9 
0099    -999    -999    181.3611     -0.2823    181.3611     -0.2823          1270.9 
0100    -999    -999    181.3625     12.5451    181.3628     12.5453           694.9 
0101    -999    -999    181.6694     12.0343    181.6695     12.0345          1426.9 
0102    -999    -999    181.8776     18.6840    181.8773     18.6840           791.1 
0103    -999    -999    181.8938      2.6400    181.8938      2.6401          1321.5 
0104    -999    4116    181.9046      2.6912    181.9014      2.6954          1331.3 
0105    -999    -999    181.9218     18.4805    181.9218     18.4804          2155.9 
0106    -999    4119    182.0399     10.3788    182.0401     10.3789          1742.9 
0107    -999    4123    182.0464      2.8786    182.0463      2.8783          1287.1 
0108    -999    -999    182.0500     19.1103    182.0503     19.1105          2230.7 
0109    -999    -999    182.0835      2.5055    182.0834      2.5055          2014.3 
0110       1    -999    182.0847     13.6841    182.0847     13.6839          2259.3 
0111    -999    -999    182.1007      3.0132    182.1007      3.0133           907.8 
0112       4    -999    182.1314     15.0950    182.1324     15.0962           589.4 
0113    -999    -999    182.3320     18.9969    182.3323     18.9975          2616.1 
0114       9    -999    182.3427     13.9925    182.3427     13.9924          1714.7 
0115      10    -999    182.3539     13.5749    182.3540     13.5744          1960.5 
0116    -999    -999    182.4466     13.0150    182.4466     13.0151          2197.1 
0117    -999    -999    182.4608     12.9029    182.4608     12.9032           172.6 
0118      15    -999    182.4774     13.0499    182.4774     13.0500          2556.8 
0119      17    -999    182.5079     14.3663    182.5073     14.3669           854.4 
0120    -999    -999    182.5139     11.7135    182.5136     11.7136          2601.7 
0121      21    -999    182.5964     10.1886    182.5962     10.1885           489.1 
0122      22    -999    182.6015     13.1706    182.6016     13.1706          1648.3 
0123    -999    -999    182.6335     14.4898    182.6335     14.4898          2221.5 
0124      24    -999    182.6487     11.7609    182.6487     11.7608          1293.5 
0125    -999    -999    182.6543     18.8287    182.6543     18.8287          2456.0 
0126      25    4152    182.6564     16.0331    182.6563     16.0329          2173.1 
0127    -999    -999    182.6586     13.0222    182.6588     13.0233          2432.3 
0128    -999    -999    182.6878      7.8677    182.6875      7.8681          2050.7 
0129    -999    -999    182.6933     23.9153    182.6929     23.9153          2536.0 
0130      29    -999    182.7041     15.2525    182.7041     15.2525           459.7 
0131      30    -999    182.7273     15.9461    182.7273     15.9463          2232.8 
0132      31    -999    182.7379      9.2195    182.7379      9.2194          2308.1 
0133    -999    -999    182.7424     24.2440    182.7424     24.2440          1279.1 
0134      32    -999    182.7614     12.1040    182.7614     12.1040          1894.2 
0135    -999    -999    182.7648      2.0050    182.7655      2.0061          1337.7 
0136      33    -999    182.7823     14.2748    182.7823     14.2748          1197.3 
0137    -999    -999    182.7861     17.6315    182.7859     17.6314          2487.1 
0138      34    -999    182.7917     13.5879    182.7915     13.5875           230.4 
0139    -999    4158    182.7923     20.1756    182.7924     20.1757          2464.4 
0140    -999    -999    182.8004     22.7049    182.7998     22.7051          2593.7 
0141    -999    -999    182.8263     18.6348    182.8263     18.6348          1292.3 
0142    -999    -999    182.8331      1.4922    182.8329      1.4925          2175.0 
