ra,dec
257.897125,-28.209677
277.681274,-06.865797
276.328644,-06.723190
272.991821,-18.022467
284.094452,-15.280015
261.521881,-26.286058
277.857330,-06.326011
278.641327,-06.435820
272.591522,-17.561371
278.178406,-07.137215
272.632874,-18.393892
273.306244,-17.991417
277.559357,-06.752612
277.339722,-06.458120
271.180847,-14.194422
275.070953,-15.579887
275.461090,-15.907132
266.641754,-25.384651
275.107391,-15.647146
275.791443,-14.753483
274.700409,-15.816768
266.386810,-26.399654
279.206451,-11.572434
266.171875,-25.724134
266.118469,-25.163515
266.691284,-25.053925
269.735229,-23.273119
271.078705,-29.030291
272.158112,-16.811254
272.506409,-16.184116
264.796112,-29.368616
264.654205,-28.292942
263.252319,-24.742483
263.177521,-21.861328
267.903351,-22.108521
274.003571,-12.838235
273.042450,-12.866726
271.008636,-28.678171
263.840637,-28.288572
273.817810,-12.346586
265.513794,-27.857861
264.207428,-29.368742
274.312256,-15.576796
274.469849,-15.503644
264.584412,-29.329248
258.323212,-29.083404
264.530396,-29.126623
264.082428,-28.980051
264.457184,-28.724842
274.868530,-12.273695
274.278503,-23.964254
256.470062,-16.571277
273.248749,-13.982766
275.504181,-12.554964
274.342529,-14.953091
264.659180,-27.923079
258.722626,-28.629667
260.225525,-15.806699
273.533630,-14.461340
270.801269,-29.242392
263.950104,-17.080971
274.722076,-12.207407
264.995239,-27.315834
274.149536,-15.546909
274.515015,-15.155837
273.581360,-15.036053
274.163391,-24.309328
273.311890,-14.635464
275.272736,-12.569581
263.404236,-28.224415
275.250763,-11.941618
278.709320,-07.704509
264.037811,-24.397400
279.063354,-06.816926
273.905487,-23.645979
280.949097,-03.588137
279.462799,-06.892170
264.442017,-24.638773
268.376526,-22.931629
269.354309,-23.074013
279.651398,-06.862713
279.347046,-06.879168
280.093262,-02.166599
281.512482,-03.309467
274.686462,-11.614411
260.897583,-22.516821
264.639435,-27.926954
282.876770,-00.652454
269.539368,-22.627214
269.085114,-22.859585
283.230713,-02.823047
282.672027,-00.185836
283.123138,-00.297638
280.684662,-02.860017
283.824066,-07.166109
263.186646,-28.400818
281.456238,-02.984573
282.575806,-03.319125
277.316650,-13.863237
277.027527,-15.912271
278.065399,-12.772054
277.612518,-11.982341
278.010742,-13.536976
277.885040,-12.343770
256.421875,-26.834261
277.629852,-13.479189
275.012451,-13.096196
276.711578,-10.277081
266.258423,-26.879671
275.015961,-13.203408
277.004364,-10.154652
281.061676,-01.991083
276.351868,-10.596781
277.978943,-09.850784
277.552490,-11.110355
277.880859,-10.237415
281.755829,-04.599313
280.946930,-02.178858
280.748779,-01.556045
281.305542,-04.526466
282.177612,-04.679146
282.396179,-09.661817
278.888245,-10.558860
282.203796,-05.113369
281.960999,-01.734049
271.460358,-15.217137
288.401428,-01.916768
274.345551,-13.249391
270.584473,-14.527670
275.298340,-14.127408
274.593964,-14.112319
275.229492,-13.679201
276.920715,-12.280686
276.856903,-12.692222
273.659973,-11.066206
277.327423,-09.606649
273.868561,-09.864936
279.460144,-09.532901
278.466766,-08.987812
281.750641,-06.421395
